member_id,join_date,cancel_date,gender,age,zip_code,membership_type
M0303,2024-03-08,,M,56,46201,Classic
M0304,2024-02-21,,Other,27,46201,Classic
M0305,2022-05-13,2023-07-27,M,18,46250,Black Card
M0306,2022-08-22,2024-02-03,F,63,46203,Black Card
M0307,2024-01-26,,M,47,46220,Classic
M0308,2022-07-02,,Other,49,46250,Classic
M0309,2023-05-30,,M,62,46220,Black Card
M0310,2023-03-19,2024-12-06,F,60,46201,Classic
M0311,2024-09-14,,M,61,46201,Classic
M0312,2022-09-04,,Other,23,46250,Classic
M0313,2023-01-21,,M,34,46203,Black Card
M0314,2024-10-11,,F,19,46250,Classic
M0315,2022-10-06,,M,36,46201,Classic
M0316,2024-08-06,,F,18,46250,Classic
M0317,2023-12-07,,F,23,46220,Black Card
M0318,2024-10-29,,Other,57,46220,Classic
M0319,2023-07-19,,M,54,46205,Classic
M0320,2023-08-20,2024-03-14,M,31,46220,Black Card
M0321,2024-06-03,,F,20,46205,Classic
M0322,2022-11-03,,F,51,46205,Black Card
M0323,2023-01-09,,F,52,46205,Black Card
M0324,2023-08-19,2024-02-21,M,27,46205,Classic
M0325,2022-05-23,2022-07-27,F,61,46201,Classic
M0326,2022-02-24,,M,32,46205,Black Card
M0327,2023-03-05,,F,27,46220,Classic
M0328,2022-10-04,2024-02-28,F,50,46250,Black Card
M0329,2022-03-13,,F,59,46220,Black Card
M0330,2022-08-14,,F,38,46220,Classic
M0331,2024-12-10,,M,26,46203,Black Card
M0332,2023-10-23,,F,36,46220,Classic
M0333,2024-07-01,,M,27,46220,Classic
M0334,2024-09-27,,F,19,46250,Classic
M0335,2024-09-29,,M,29,46220,Black Card
M0336,2023-08-27,,M,25,46203,Black Card
M0337,2024-09-25,,M,64,46220,Black Card
M0338,2023-11-02,2024-12-19,F,48,46250,Black Card
M0339,2023-01-19,,Other,50,46205,Classic
M0340,2024-04-29,,M,18,46203,Classic
M0341,2022-08-28,,M,24,46201,Black Card
M0342,2023-08-20,,M,35,46201,Black Card
M0343,2022-03-21,,Other,31,46203,Classic
M0344,2023-04-08,,M,53,46201,Classic
M0345,2022-05-19,2024-06-04,M,54,46203,Classic
M0346,2023-09-28,,M,25,46250,Classic
M0347,2024-01-13,,Other,57,46203,Classic
M0348,2022-10-01,,F,38,46203,Black Card
M0349,2023-12-16,,Other,59,46250,Black Card
M0350,2024-10-07,,M,54,46205,Classic
M0351,2023-02-11,2023-06-29,F,53,46250,Black Card
M0352,2024-09-05,2024-11-10,F,63,46250,Classic
M0353,2024-09-07,,F,45,46203,Classic
M0354,2023-08-09,,M,63,46205,Black Card
M0355,2022-10-25,,F,51,46250,Classic
M0356,2022-06-29,2024-07-10,F,42,46250,Black Card
M0357,2023-09-13,,M,62,46205,Classic
M0358,2022-04-02,2024-04-16,M,55,46203,Classic
M0359,2022-05-22,,M,33,46201,Classic
M0360,2024-08-05,,F,54,46250,Classic
M0361,2023-05-17,,F,48,46203,Classic
M0362,2023-09-21,,M,27,46203,Classic
M0363,2024-05-10,2024-07-04,F,47,46250,Black Card
M0364,2024-02-27,,Other,40,46203,Black Card
M0365,2023-12-28,,M,63,46203,Classic
M0366,2024-04-10,,M,23,46203,Classic
M0367,2024-10-03,,M,23,46203,Classic
M0368,2024-02-22,,F,36,46203,Classic
M0369,2022-03-21,2024-01-23,M,25,46201,Classic
M0370,2023-07-17,2024-01-16,M,32,46201,Classic
M0371,2024-06-15,,M,53,46220,Classic
M0372,2022-06-29,,M,39,46205,Black Card
M0373,2022-12-29,,M,27,46203,Classic
M0374,2024-02-11,,F,44,46220,Classic
M0375,2024-09-20,,F,36,46201,Black Card
M0376,2022-08-29,,M,26,46250,Black Card
M0377,2023-10-03,2024-01-29,M,27,46205,Black Card
M0378,2023-04-15,2024-12-10,M,39,46250,Black Card
M0379,2023-01-09,2023-10-10,F,18,46220,Classic
M0380,2023-07-11,,F,49,46201,Classic
M0381,2022-02-26,,F,40,46220,Black Card
M0382,2023-03-16,,Other,34,46203,Black Card
M0383,2024-02-10,,M,58,46203,Black Card
M0384,2024-11-26,,F,20,46203,Black Card
M0385,2023-03-24,,F,49,46250,Classic
M0386,2023-04-05,,M,19,46250,Classic
M0387,2024-04-04,,M,49,46203,Classic
M0388,2024-12-04,,F,63,46201,Classic
M0389,2022-06-05,,Other,28,46220,Classic
M0390,2024-08-30,,F,52,46205,Black Card
M0391,2024-05-23,,M,36,46201,Black Card
M0392,2023-02-15,,F,41,46250,Black Card
M0393,2022-03-24,,M,52,46250,Classic
M0394,2024-01-02,,F,55,46203,Classic
M0395,2023-06-28,,M,48,46205,Classic
M0396,2024-09-27,,F,35,46205,Classic
M0397,2023-03-24,,M,53,46250,Black Card
M0398,2022-05-08,,Other,23,46201,Classic
M0399,2023-07-30,,F,64,46203,Classic
M0400,2023-12-26,,M,22,46205,Black Card
M0401,2022-08-07,2023-07-12,M,32,46205,Black Card
M0402,2023-08-28,,M,45,46201,Classic
M0403,2023-12-11,,M,25,46250,Classic
M0404,2022-01-15,2022-12-26,F,39,46250,Classic
M0405,2023-11-19,,M,25,46220,Classic
M0406,2024-10-15,,F,21,46201,Black Card
M0407,2022-01-26,,F,61,46203,Classic
M0408,2024-02-05,,F,47,46220,Classic
M0409,2022-06-22,,M,49,46220,Classic
M0410,2024-01-30,,M,20,46220,Classic
M0411,2024-11-29,,F,19,46203,Black Card
M0412,2023-03-01,,M,51,46203,Black Card
M0413,2024-12-11,,Other,32,46203,Black Card
M0414,2023-06-19,,F,18,46203,Classic
M0415,2023-10-19,,M,45,46250,Black Card
M0416,2023-03-19,,F,40,46201,Black Card
M0417,2022-03-03,,M,48,46203,Classic
M0418,2023-05-02,,M,57,46220,Black Card
M0419,2022-12-09,2023-10-24,F,24,46201,Classic
M0420,2022-05-26,,F,42,46201,Classic
M0421,2022-07-10,,F,58,46220,Classic
M0422,2023-07-31,,M,51,46250,Classic
M0423,2023-11-25,,F,59,46205,Black Card
M0424,2023-05-17,,F,52,46205,Black Card
M0425,2023-09-12,,M,34,46220,Black Card
M0426,2024-07-10,,M,51,46203,Black Card
M0427,2022-05-13,,M,19,46250,Black Card
M0428,2022-10-24,,F,19,46250,Classic
M0429,2024-07-23,,M,53,46205,Classic
M0430,2024-12-12,,F,32,46205,Classic
M0431,2023-11-20,,M,36,46201,Classic
M0432,2023-05-27,,F,37,46201,Classic
M0433,2022-12-01,,M,28,46203,Classic
M0434,2023-12-04,,Other,44,46203,Classic
M0435,2024-05-15,,M,36,46250,Black Card
M0436,2023-10-24,,M,42,46205,Classic
M0437,2023-03-03,,F,21,46201,Black Card
M0438,2022-12-02,2024-03-14,M,34,46220,Classic
M0439,2024-03-11,,M,56,46205,Classic
M0440,2022-05-01,,M,46,46201,Classic
M0441,2024-12-19,,M,41,46250,Black Card
M0442,2024-10-10,,F,40,46205,Classic
M0443,2022-08-18,,F,59,46201,Classic
M0444,2022-05-16,,M,55,46201,Classic
M0445,2023-10-16,,M,23,46205,Classic
M0446,2024-05-06,,M,33,46205,Classic
M0447,2024-04-12,,M,29,46205,Classic
M0448,2023-08-11,2024-10-24,F,26,46203,Black Card
M0449,2024-10-12,,Other,39,46201,Classic
M0450,2024-06-02,,F,27,46203,Black Card
M0451,2024-07-24,,F,47,46205,Classic
M0452,2024-08-02,,M,51,46220,Classic
M0453,2022-11-23,2024-08-26,Other,39,46250,Classic
M0454,2024-12-15,,M,24,46250,Black Card
M0455,2022-08-14,,M,35,46250,Classic
M0456,2023-12-27,,F,29,46201,Classic
M0457,2022-10-23,,F,46,46203,Black Card
M0458,2022-03-22,,F,24,46203,Black Card
M0459,2023-05-09,,F,64,46205,Classic
M0460,2024-01-17,,M,54,46205,Black Card
M0461,2023-09-12,,M,48,46250,Black Card
M0462,2022-09-03,,M,38,46220,Classic
M0463,2024-07-16,,M,51,46250,Classic
M0464,2023-09-10,,Other,23,46205,Black Card
M0465,2023-06-19,,F,29,46205,Black Card
M0466,2024-08-23,,F,26,46203,Black Card
M0467,2024-10-21,,M,25,46201,Classic
M0468,2024-09-20,,F,36,46203,Classic
M0469,2024-01-20,,M,62,46220,Black Card
M0470,2024-05-10,,M,33,46205,Black Card
M0471,2024-08-16,,F,61,46220,Black Card
M0472,2024-01-11,,F,59,46205,Classic
M0473,2022-01-27,,F,40,46201,Black Card
M0474,2023-11-19,,M,22,46220,Classic
M0475,2022-07-14,,Other,31,46205,Classic
M0476,2022-05-14,,M,47,46220,Black Card
M0477,2024-06-24,,Other,44,46201,Black Card
M0478,2023-04-24,2024-11-15,F,59,46250,Classic
M0479,2023-09-29,2024-08-16,F,45,46220,Classic
M0480,2024-04-26,,F,34,46203,Classic
M0481,2024-10-16,,M,43,46205,Black Card
M0482,2022-07-07,,F,48,46220,Classic
M0483,2023-10-31,,Other,46,46203,Classic
M0484,2022-06-16,,F,27,46250,Black Card
M0485,2024-01-19,,M,34,46205,Black Card
M0486,2022-07-01,,M,50,46250,Black Card
M0487,2023-05-02,,F,38,46201,Classic
M0488,2022-06-20,,F,46,46203,Black Card
M0489,2022-01-13,,M,39,46203,Classic
M0490,2024-10-04,,F,61,46203,Classic
M0491,2022-01-06,,M,43,46250,Classic
M0492,2023-10-18,,M,45,46203,Black Card
M0493,2022-03-09,,F,24,46201,Black Card
M0494,2023-02-13,2023-08-20,M,49,46201,Classic
M0495,2024-11-22,,F,47,46201,Classic
M0496,2022-08-01,2022-10-16,F,29,46205,Classic
M0497,2023-01-04,,M,59,46220,Black Card
M0498,2022-04-20,,M,46,46205,Classic
M0499,2024-12-16,,M,31,46220,Black Card
M0500,2023-03-24,,M,38,46220,Classic
M0501,2024-03-06,,F,19,46220,Black Card
M0502,2023-03-13,2024-06-18,F,20,46205,Classic
M0503,2023-11-09,,M,33,46220,Classic
M0504,2023-06-28,,M,54,46201,Black Card
M0505,2022-06-19,,M,57,46203,Classic
M0506,2024-12-12,,Other,61,46201,Classic
M0507,2023-09-19,,M,26,46220,Black Card
M0508,2022-03-28,,M,46,46250,Classic
M0509,2024-04-15,,M,18,46201,Classic
M0510,2022-01-06,,F,30,46201,Black Card
M0511,2022-08-04,,F,38,46201,Black Card
M0512,2024-05-30,,Other,35,46201,Black Card
M0513,2022-08-17,,F,54,46220,Black Card
M0514,2024-01-14,,M,58,46250,Classic
M0515,2024-07-21,,F,47,46220,Classic
M0516,2024-05-22,,M,21,46203,Classic
M0517,2024-12-08,,F,44,46250,Classic
M0518,2022-05-23,2022-09-18,M,37,46250,Classic
M0519,2024-09-19,,F,49,46220,Black Card
M0520,2023-09-01,2023-11-27,F,61,46201,Black Card
M0521,2022-11-15,,M,48,46250,Classic
M0522,2023-05-20,,F,54,46205,Black Card
M0523,2024-09-07,,F,33,46201,Black Card
M0524,2024-01-27,2024-06-15,Other,62,46205,Classic
M0525,2023-10-17,,M,44,46250,Black Card
M0526,2022-12-04,,F,63,46205,Classic
M0527,2022-03-02,,M,52,46250,Classic
M0528,2022-08-23,,M,29,46250,Black Card
M0529,2024-08-03,,M,57,46205,Black Card
M0530,2023-09-07,,M,21,46220,Classic
M0531,2024-12-23,,M,49,46203,Classic
M0532,2024-03-05,,Other,50,46205,Black Card
M0533,2022-01-27,,F,52,46203,Black Card
M0534,2024-10-21,,M,56,46250,Black Card
M0535,2023-10-11,,F,59,46203,Black Card
M0536,2024-07-11,,M,18,46250,Classic
M0537,2023-09-13,,M,32,46250,Black Card
M0538,2022-12-03,,M,47,46250,Classic
M0539,2022-04-18,,M,42,46250,Black Card
M0540,2022-05-05,,M,63,46203,Black Card
M0541,2023-07-05,,M,50,46205,Classic
M0542,2023-01-23,2024-09-08,F,53,46205,Classic
M0543,2023-12-04,2024-05-26,M,27,46203,Black Card
M0544,2022-09-13,,M,52,46205,Classic
M0545,2023-03-27,2024-02-29,F,63,46220,Classic
M0546,2022-04-06,,F,40,46220,Classic
M0547,2022-01-09,,F,64,46220,Black Card
M0548,2024-06-30,2024-10-18,M,61,46203,Black Card
M0549,2022-10-13,,F,31,46201,Black Card
M0550,2023-12-25,,F,28,46220,Black Card
M0551,2023-09-19,,M,52,46250,Black Card
M0552,2024-06-22,,M,38,46201,Black Card
M0553,2023-04-02,,F,26,46203,Classic
M0554,2022-06-07,,F,39,46201,Classic
M0555,2023-03-17,,M,49,46201,Black Card
M0556,2022-03-21,,Other,42,46203,Classic
M0557,2024-10-27,,M,51,46203,Classic
M0558,2022-09-25,2024-02-04,M,46,46203,Black Card
M0559,2022-07-08,2023-12-29,F,34,46201,Black Card
M0560,2023-11-26,,M,18,46201,Classic
M0561,2023-06-12,,M,32,46201,Black Card
M0562,2024-10-23,2024-11-30,M,36,46201,Classic
M0563,2022-02-05,,F,34,46201,Black Card
M0564,2022-07-27,,M,27,46250,Classic
M0565,2023-03-01,2024-05-31,M,28,46203,Black Card
M0566,2024-02-21,,Other,21,46220,Black Card
M0567,2022-05-31,2024-09-27,F,49,46250,Black Card
M0568,2022-04-12,2022-10-05,M,19,46205,Classic
M0569,2023-10-20,,M,56,46220,Classic
